tm_inchikey	mean_similarity	std_similarity	triangular_simmx_size	route_type
AWDRDIZACXEMRA-UHFFFAOYSA-N	0.610879053608459	0.09768876028438724	45	predicted
AXZKSUNGRDJIFL-UHFFFAOYSA-N	0.4461652621846693	0.361272374818903	45	predicted
AZSRSNUQCUDCGG-UHFFFAOYSA-N	0.4344624526148386	0.3881895848146641	36	predicted
BDQCDIWFPIDPQU-UHFFFAOYSA-N	0.6781730325662976	0.1692905475464788	45	predicted
BIAAFFAHROMCHN-UHFFFAOYSA-N	0.41496691747050163	0.35976247626926	45	predicted
BKBNOJAMNMVBKA-CHQNGUEUSA-N	0.3832467138753969	0.4042032047009786	45	predicted
BSHFCWWTFQFTPC-UHFFFAOYSA-N	0.5886983766969469	0.20835732595649034	45	predicted
BWINBHTTZLVXGT-NVXWUHKLSA-N	0.50426717010119	0.33317591264115065	45	predicted
BYXNPBBWWSOSDA-VWLOTQADSA-N	1.0	0.0	1	predicted
CQKVACARDGYEMU-VWLOTQADSA-N	0.7457677420655159	0.1601176878422144	45	predicted
CWOFQJBATWQSHL-DEOSSOPVSA-N	0.660895890565495	0.14382438666593397	15	predicted
CZIDGRDZSFIUHX-UHFFFAOYSA-N	0.6706283531985234	0.15159834781611936	36	predicted
DCFDFJLOVJNYRX-UHFFFAOYSA-N	0.45217313479768273	0.3571744934657651	45	predicted
DJRUWESABPZMRB-UHFFFAOYSA-N	1.0	0.0	10	predicted
DKZPZLQEPJOONY-UHFFFAOYSA-N	0.7097748961537587	0.10252780592943103	45	predicted
DLLGXKPWXXZQFL-UHFFFAOYSA-N	0.5210691001509522	0.16817665748056893	45	predicted
DTCZNKWBDTXEBS-UHFFFAOYSA-N	0.6450778040415293	0.2410657120035411	45	predicted
DTIIKYOMQTYQAK-UHFFFAOYSA-N	0.7290205733098691	0.12779882558933717	45	predicted
DUCJUKZQSRPECI-UHFFFAOYSA-N	0.7677931782679946	0.08102752897761155	45	predicted
FBEAEYZRUGTMAE-UHFFFAOYSA-N	0.8546585286993885	0.0655255739080529	45	predicted
FHRKRGDHMCCDEO-LLVKDONJSA-N	0.6480049869988265	0.20138644527974647	45	predicted
FHVMATOIMUHQRC-UHFFFAOYSA-N	0.6609141217133394	0.344461435102063	45	predicted
FHZZJWMSTHGNQS-UHFFFAOYSA-N	0.7721302301019914	0.10087601025284511	45	predicted
FOROUCWBDGYYOS-NSHDSACASA-N	0.7637863555432434	0.060133988028634386	45	predicted
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	0.17093819233873717	0.37429548107274724	45	predicted
FZFXOEUVGCHONA-UHFFFAOYSA-N	1.0	0.0	45	predicted
GGEKTDCCHNVLNE-UHFFFAOYSA-N	0.8061617432831213	0.1177170786778512	45	predicted
GHILNKWBALQPDP-UHFFFAOYSA-N	0.9190041658423438	0.07678340883745813	45	predicted
GNQGSUOEYQIORN-UHFFFAOYSA-N	0.9312555861411571	0.0935957954513066	45	predicted
GTVLCHCOKLXHLY-UHFFFAOYSA-N	0.7868120710863198	0.1318107291045125	45	predicted
GZYNUOMXGGSXMI-UHFFFAOYSA-N	0.4380064720140793	0.32539717895991194	45	predicted
HELKVQOFPUCVAJ-UHFFFAOYSA-N	0.6438613236156938	0.1476447691051554	45	predicted
HGCVGTDJTDDWLM-UHFFFAOYSA-N	0.6817719414687383	0.17073022042347208	45	predicted
HNTGMIGBGVFOBT-UHFFFAOYSA-N	0.56829742690271	0.15978812417787516	45	predicted
