inchikey	smiles
ASGMFNBUXDJWJJ-JLCFBVMHSA-N	CNC(=O)[C@]1(C)CC[C@@H](Nc2ncc3c(Br)nn(-c4ccc(-c5nnc(C)s5)cc4)c3n2)C1
ASSZZQOXRJNXNL-NRFANRHFSA-N	CCOc1ccc(C(F)(F)F)cc1-c1cc(-c2ccc3cc(OC)ccc3c2)n([C@@H](C)c2ccc(C(=O)NCCC(=O)O)cc2)n1
ATUNXJFMSCHLLW-UHFFFAOYSA-N	Cc1ccc(Cl)cc1N1C(=O)CN(C(C)C)C1=S
AVCXUODHLRZJJP-UHFFFAOYSA-N	Cc1ccc(C)c2oc(-c3nc(-c4ccc(C(=O)O)cc4)no3)cc12
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVWDJSXSWJBVBP-UWVGGRQHSA-N	Nc1ncc(-c2cc(N3CCC(F)(F)C3)nc(N3C[C@@H]4C[C@H]3CO4)n2)nc1OC(F)F
AWDRDIZACXEMRA-UHFFFAOYSA-N	CC(C)(C)n1ncc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)c1C(F)(F)F
AWSRDDSRQUJMAJ-LCAJTWGOSA-N	C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(NC(=O)c4cccc(C#N)c4)c3Cl)CC2=O)CCO1
AXZKSUNGRDJIFL-UHFFFAOYSA-N	COC(C)c1ccncc1Br
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZUYLZMQTIKGSC-UHFFFAOYSA-N	C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1
BDQCDIWFPIDPQU-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1
BETDGMHNHGHORO-MRXNPFEDSA-N	Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cc(Cl)nn4)ccc(Cl)c3F)c[n+]2[O-])c1
BFIQWRSPSDOJCV-UHFFFAOYSA-N	COc1cc([N+](=O)[O-])ccc1S(C)(=O)=O
BGGALFIXXQOTPY-NRFANRHFSA-N	CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4C[C@H](C)N4CCN(S(C)(=O)=O)CC4)c3C)CC2)c2cc(CC(F)(F)F)sc2n1
BHKKSKOHRFHHIN-MRVPVSSYSA-N	C[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21
BIAAFFAHROMCHN-UHFFFAOYSA-N	COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
BKTASVDLNMGMFP-FUHWJXTLSA-N	COc1cccc(C(=O)N2CCN3C[C@@H](c4ccc(Cl)cc4)CC[C@@H]3C2)c1Br
BOMNURVTAHAEBQ-KWIIHVIGSA-N	Cc1c(Cl)c2c(Cl)c(C)c1-c1c(-c3ccc(F)cc3)sc3ncnc(c13)O[C@@H](C(=O)O)Cc1cc(ccc1OCc1ccnc(-c3ccc(OC[C@H]4COCCO4)cc3)n1)OC[C@@H](CN1CCN(C)CC1)O2
BRLGERLDHZRETI-BGBFCPIGSA-N	O=C(O)[C@@H](Cc1cccc(CN(Cc2cccc(C[C@H](C(=O)O)[C@H]3CCNC3)c2)Cc2cccc(C[C@H](C(=O)O)[C@H]3CCNC3)c2)c1)[C@H]1CCNC1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl
BSWAVDINBJTJNU-OAHLLOKOSA-N	CC(C)(C)OC(=O)C[C@H](CO)NC(=O)OCC1c2ccccc2-c2ccccc21
BVAJBVZPXNQRIA-UHFFFAOYSA-N	COC(=O)C(Oc1ccc([N+](=O)[O-])cc1)C(C)=O
BVBRUQYHUXKZMQ-JNVAYQLDSA-N	C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
BVKGNQRDVFGNIW-UHFFFAOYSA-N	COC(=O)Cc1cccc(N)c1
BVTHUHGMOKWKAW-UHFFFAOYSA-N	CCN1C(=O)CN2C(=O)CCC12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12
BWYSXYPDZCNYDH-UHFFFAOYSA-N	CC(C)(C)NS(=O)(=O)c1cccc(N2C(=O)c3ccc(NS(=O)(=O)C4(C)CC4)cc3N3CCC4(CC4)CC32)c1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1
BZKIOORWZAXIBA-UHFFFAOYSA-N	Cn1ncc(-c2ccc3c(=O)[nH]nc(CN)c3c2)c1-c1c(F)c(Cl)cc(OC2CC2)c1C#N
BZZSIZPHNGARLH-UHFFFAOYSA-N	CC(C#N)(CCC(F)(F)F)NC(=O)OCc1ccccc1
CKAMBYUZKWQCKJ-ADSBAMQRSA-N	C=CC(=O)N1CCN(c2cc(-c3noc([C@@]4(C)CCCc5sc(N)c(C#N)c54)n3)nc(N3CCN(C)C[C@@H]3C)c2)CC1
CLNMQLJQPSFZJB-QGZVFWFLSA-N	C[C@@H](NCc1cncn1Cc1ccc(C#N)c(F)c1)C(=O)N(C)c1cccc2ccc(O)cc12
CNQOLVBNICGIJB-QGZVFWFLSA-N	C=CC(=O)N1CCN2Cc3cc(C#CC)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1
COTQDURISRILOR-CQSZACIVSA-N	CCNC(=O)Nc1nc2cc(-c3cnc(C(C)(C)OP(=O)(O)O)nc3)c(F)c([C@H]3CCCO3)c2[nH]1
CPBXJSPVZIPJMX-IRXDYDNUSA-N	CCOc1cccnc1Oc1cncc(-c2ncc(C(=O)N[C@@H]3CNC[C@@H](F)C3)cn2)c1
CQAPXPSWLDAVEG-UHFFFAOYSA-N	CC(C)(O)c1ccc(NC(=O)c2ccnn(-c3ccccc3OCC(F)(F)F)c2=O)cc1
CQELSEDWYWTMDG-UHFFFAOYSA-N	CNC(=O)COc1cc(Cl)c(Cc2ccc(O)c(C(C)C)c2)c(Cl)c1
CQKVACARDGYEMU-VWLOTQADSA-N	Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1
CUIMTAPGPJXQEK-UHFFFAOYSA-N	COc1ccccc1-c1cccc(Br)c1
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O
CYSOFAOLQAYKGU-UHFFFAOYSA-N	O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21
CZIDGRDZSFIUHX-UHFFFAOYSA-N	CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cn1)c1csc(NS(=O)(=O)C2CC2)n1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	COc1cc(-c2nc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)cc(C)c2C)ccn1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	OCc1cc(C2OCCCO2)c2ccccc2c1
DDDBXKLPWYETFR-UHFFFAOYSA-N	O=c1c(Cl)c(OCc2ccc(Cl)cc2Cl)cnn1-c1ccc(Cl)cc1
DJRUWESABPZMRB-UHFFFAOYSA-N	FC(F)(F)c1ccc2sc(S)nc2c1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DLLGXKPWXXZQFL-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCc1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
DMOHFURXRRTVGP-RUZDIDTESA-N	COCCOc1ccc(C(N)=O)c(-c2c(Cl)ccc3c2C[C@@](CN)(c2ccccc2)O3)c1F
DQRZNYPHOWVXPQ-VTUXAHAWSA-N	Cc1ncsc1-c1ccc([C@@H](CO)NC(=O)[C@H]2C[C@H](O)CN2C(=O)[C@@H](C(C)C)n2cc(OCCCCN3CCCN(c4nccc(-c5noc([C@@]6(C)CCCc7sc(N)c(C#N)c76)n5)n4)[C@@H](C)C3)nn2)cc1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCNS(=O)(=O)c1ccc(Cl)cc1
DTWUUAFTYSMNQX-GFCCVEGCSA-N	CCn1ncc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1-c1nn(C)nc1C2
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F
DUYRWEBTZNUILI-DIFFPNOSSA-N	Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Cl)cc2C(N)=O)c2n[nH]c(=O)o2)c1C
DVFCRTGTEXUFIN-GFCCVEGCSA-N	CC(C)CCN[C@@H]1CCc2cc(O)c(N3CC(=O)NS3(=O)=O)c(F)c2C1
DZOZUWJSHMBZNX-UHFFFAOYSA-N	COc1ccccc1-c1nc(Nc2ccc(N3CCOCC3)cc2)c2[nH]ncc2n1
FBEAEYZRUGTMAE-UHFFFAOYSA-N	Cn1cc(-c2cc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)c[nH]c4=O)c(F)c3)ccn2)cn1
FDFUKZJWVPEZEH-VWYCJHECSA-N	Fc1ccc([C@@H]2C[C@H]3CCC[C@@H]2N3)cn1
FDKRJEXPPQSRPR-UHFFFAOYSA-N	CCOP(=O)(Cc1cc2cc(OC)c(OC)cc2nc1CC(N)C(=O)OC)OCC
FDZFVXKCJKOSRC-CYBMUJFWSA-N	Cc1ncn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2CCO)n1
FFUQRXFVTVBZMZ-SANMLTNESA-N	CCn1cc(-c2cc(Cn3ccnc3)cc3c2CCN([C@H](c2cc(C)ccn2)C2CC2)C3=O)c(C(F)(F)F)n1
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=O)Cc1ccccc1
FHZZJWMSTHGNQS-UHFFFAOYSA-N	C=CCN1CCc2c([nH]c3ccccc23)C(C(=O)OC)C1
FMXLKQYOBUDPPG-UHFFFAOYSA-N	CON=C(c1ccc(Cl)cc1)C(N)CC1CCCC1
FNCLKJPMEFPXOR-IEXOOEODSA-N	OCC1O[C@H](Sc2cncc(Br)c2)[C@H](O)C(n2cc(-c3cc(F)c(F)c(F)c3)nn2)C1O
FNMOSYNODGOFRC-AWEZNQCLSA-N	Cc1ccc(S(=O)(=O)c2nnnn2C[C@@H]2CCCN2C(=O)OC(C)(C)C)cc1
FNRHWODWSBDOOY-CYBMUJFWSA-N	NC(=O)N1CCC[C@@H](N(C(=O)NCc2ccc(OC(F)(F)F)cc2F)C2CC2)C1
FOJARJYVBAAZST-BTYIYWSLSA-N	CN(C[C@@]1(F)C[C@@H](C(=O)NCc2cccc(Cl)c2F)N(C(=O)OC(C)(C)C)C1)C(=O)OCC(Cl)(Cl)Cl
FOROUCWBDGYYOS-NSHDSACASA-N	C[C@H]1Cn2c(cc(OCc3cc(F)c(Oc4ccnc(C(F)(F)F)c4)c(F)c3)nc2=O)N1C
FQGLCYYIHLNVRG-GOSISDBHSA-N	Cc1ccc(-c2nc(=O)o[nH]2)c(-c2ccc([C@@H](C)N(CC3CC3)c3nc(C(=O)NS(=O)(=O)C4CC4)c(C4CC4)s3)cc2)c1
FQPQMJULRZINPV-UHFFFAOYSA-N	Cc1cnc(-c2ccnc(C(C)(C)O)n2)cc1-n1c(C)cc(OCc2ncc(F)cc2F)c(Cl)c1=O
FRVSRBKUQZKTOW-YOCNBXQISA-N	CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	COc1ccc(CC(C)=O)cc1Br
FVAMQHWKQOJRPM-PMERELPUSA-N	CC1CCN([C@H]2CCCN(c3ccc(C#Cc4ccc(-c5ccc(Cl)cc5)cn4)cc3)C2)CC1
FVICRBSEYSHKFY-JYQNNKODSA-N	CCn1c(-c2cc(N3CCN(C)CC3)cnc2[C@H](C)OC)c2c3cc(ccc31)-c1csc(n1)C[C@H](NC(=O)[C@H]1C[C@@H]1C)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2
FWLFRXVPNVBXGR-CQSZACIVSA-N	O=C(c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1)N1CC[C@@H](F)C1
FWZAWAUZXYCBKZ-NSHDSACASA-N	COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1
FZFXOEUVGCHONA-UHFFFAOYSA-N	CC(=O)c1ccc(-c2ccc(Br)cc2F)cc1
GABGNLCOMBJPQO-VVVCHXIZSA-N	CC[P@](=O)(N[C@H](C)C(=O)NO)c1ccccc1
GABNZGLSRYSCDT-UHFFFAOYSA-N	CC(F)(F)CCCCn1ccc(NC(=O)c2ncoc2-c2ccccc2)n1
GCNGMJUUAPJOKS-YUMQZZPRSA-N	Cc1sc(C)c([C@H]2COC[C@@H]2O)c1Br
GDWGWQGYHYZCEC-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2cc(Cn3cc4nc(-c5ccc6[nH]ccc6c5)nc-4cn3)on2)c(C(F)(F)F)c1
GGEKTDCCHNVLNE-UHFFFAOYSA-N	CC(=O)N1CCN(c2ccc3c(NCCN)nc(C4(c5ccc(Cl)cc5)CCCCC4)nc3c2)CC1
GHILNKWBALQPDP-UHFFFAOYSA-N	N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O
GNQGSUOEYQIORN-UHFFFAOYSA-N	CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1
GPXGAJOLPZULOI-UHFFFAOYSA-N	COC(=O)Cn1c(C)ccc1CN1C(=O)c2ccccc2C1=O
GRDMGDUBOKJCDV-MOPGFXCFSA-N	CCO[C@H]1CNC[C@H]1Nc1nc(CC)c(-c2ccc(OC)cc2Cl)nc1CC
GRLNMMGSCZQHBY-UHFFFAOYSA-N	Cc1noc(COS(C)(=O)=O)c1C1CN(C)N=C1C(=O)c1ccc(Cl)cc1
GRTDDIZIUSADLD-CRAIPNDOSA-N	COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccc(C)nc21
GTLJDAHQXYGVCG-UHFFFAOYSA-N	CN(C)C1=NS(=O)(=O)c2ccccc21
GTPDEYWPIGFRQM-UAKXSSHOSA-N	Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1C(F)(F)F
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2
GZYNUOMXGGSXMI-UHFFFAOYSA-N	COc1ccc(C(C)=O)c(NC(=O)c2nc(C(C)C)cs2)c1C
HDQNXIOVYVAKBX-UHFFFAOYSA-N	CNc1cc(F)ccc1[N+](=O)[O-]
HELKVQOFPUCVAJ-UHFFFAOYSA-N	CNC(=O)c1cc(CNc2ncsc2C(=O)OC)ccn1
HEPVTNKERIDPJM-AWEZNQCLSA-N	CCC[C@@H](CO)Nc1nc(N)nc(C)c1Cc1ccc(C(=O)O)cc1OC
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F
HJNFYLSFWYRSHS-UHFFFAOYSA-N	CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)N1CCOC(CC(NC(=O)C(C(C)C)N(C)C(=O)C3(F)CCN(C(=O)C#CC(C)(C)N(C)C)CC3)C(=O)N3CCCC(N3)C(=O)OCC(C)(C)C2)C1
HLRGUOXREACPLT-UHFFFAOYSA-N	CCCc1nc(-c2ccc(Cl)cc2)c(CCC(=O)N2CCN(CC3CCN(C)CC3)CC2)o1
HLXQFVUPAUJHJI-VIFPVBQESA-N	C[C@H](Nc1cc(Cl)ncn1)c1ccccc1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1
HNVKXWVRLLBONM-UHFFFAOYSA-N	CC#CCOc1cc(N(CC)CC#CC)ncn1
HPTPDBYCFHFWJG-CWTKIQHKSA-N	CN1CCN([C@@H]2CCCN(c3cnc(C(N)=O)c(Nc4ccc(C5CCN(CC6CCN(c7ccc(C(=O)N[C@H]8CCC(=O)NC8=O)nc7)CC6)CC5)cc4)n3)C2)C1=O
HURLMBGYGQNMEG-UHFFFAOYSA-N	COC(=O)c1nc(-c2ccc(Cl)c(OC)c2F)nc(O)c1Br
HYQDQTWGOVTAGP-UHFFFAOYSA-N	CCCC12CCC(=O)C=C1c1c(cc(O)c(Cl)c1Cl)CC2
HZLFFNCLTRVYJG-WWGOJCOQSA-N	CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C
IAMUMIBDQILHMZ-NRFANRHFSA-N	O=C(O)C[C@H](Cc1ccc(OCCCNc2ccccn2)cc1)c1ccccc1
IBGMDKHTDOHIKB-UHFFFAOYSA-N	COc1c(-c2ccc3cc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C
IEYOHYVYEJVEJJ-SKDRFNHKSA-N	C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO
IGHBVTWJGNIBBY-UHFFFAOYSA-N	CCOC(=O)CC1(c2ccc(Br)cc2)CC1
IHXNMNXXLBANRT-UHFFFAOYSA-N	c1ccc(CCCN2CCN(CCOCc3ccccc3)CC2)cc1
IKEBMEDSZADMKE-UHFFFAOYSA-N	COc1cc(C(F)(F)F)ccc1-c1c(N)cnc2cc(S(=O)(=O)Nc3nccs3)ccc12
IKPNRMYDOSNVAU-QEJBIBHGSA-N	O=C(COc1ccc(Cl)cc1)NC12CC(c3nnc([C@H]4C[C@@H](OC(F)(F)F)C4)o3)(C1)C2
ILMBNGXIGGVYQY-UHFFFAOYSA-N	CC(C)Oc1ncc(Oc2cc(F)c(C(=O)O)cc2F)cc1Cl
ILPWEAHQRAWJIU-OAHLLOKOSA-N	Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12
INSNUPHZRXHOTA-UHFFFAOYSA-N	Nc1cc(N2CCN(C(=O)c3ccccc3)CC2)ccc1OC(F)(F)F
INTQQNKAQDJOOI-UHFFFAOYSA-N	Cn1cc(-c2cnc3[nH]cc(C(=O)NN)c3c2)cn1
IQKNCBUBONVBNJ-UHFFFAOYSA-N	O=C(O)c1nn(Cc2ccc(Cl)c(Cl)c2)c(=O)c2cc(Oc3ccccc3)ccc12
IQNMCFJVBQJVNL-UHFFFAOYSA-N	Cc1cccc(NC(=O)c2cccc(Br)n2)n1
IWJOUZQQKDORMF-UHFFFAOYSA-N	C=Cc1ccn2c(-c3ccc4cccc(O[Si](C)(C)C(C)(C)C)c4n3)nnc2c1
IXZILUICVMZFAS-UHFFFAOYSA-N	COc1ccc(CNC(=O)N2CCC(C(=O)c3cccc(OC)c3)CC2)cc1
JACPDLJUQLKABC-UHFFFAOYSA-N	COC(=O)c1ccc(N)nc1
JAOGFYSXDYNYSX-XYWHTSSQSA-N	CC1(C)C(=O)N(c2ccc(N3CC(F)(CN[C@H]4CC[C@H](C(=O)O)CC4)C3)cc2)c2cc(Cl)ccc2-c2cc(Cl)cnc21
JBKILBGEQHFIOB-UHFFFAOYSA-N	C=CC(=O)N1CCCC(n2c(=O)c3ncccc3n(Cc3ccc(Oc4ccccc4)cc3)c2=O)C1
JBLQNFBXKOAIHG-FCEWJHQRSA-N	COC[C@H](NC(=O)c1ccn(S(C)(=O)=O)c1)C(=O)Nc1nc(-c2cccc(N3C[C@@H](C)O[C@@H](C)C3)n2)cs1
JCQABEJXHUSDMF-UHFFFAOYSA-N	CC(C)(O)C1CCN(c2cc(-n3ncc4ccc(C5(C#N)CC56CC6)cc43)ncn2)C1
JCWGKHHVSUBNRQ-UHFFFAOYSA-N	CCCCOC(=O)c1cc(C2CC2)cnc1Nc1ccc2[nH]ccc2c1
JDCQEVCYOJOPLE-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nccc(-c2cnccn2)n1
JDTWUDDOSHJEIZ-UHFFFAOYSA-N	N#Cc1ncn(CC(=O)N2Cc3ccc(-c4cc(F)cnc4C(F)(F)F)cc3C2)n1
JENUMEXEVAAAJX-SNVBAGLBSA-N	Cc1nc(C)n(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2C)n1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1
JIFZWQLJNKTEFZ-UHFFFAOYSA-N	CNn1c(C)ccc1C(=O)c1ccccc1Cl
JIWUBWZSJPAPIN-UHFFFAOYSA-N	CC(C)(C)OC(=O)Nc1c(F)ccc(F)c1I
JJVAPHYEOZSKJZ-JGCGQSQUSA-N	Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12
JKBYBPNRTMHEGS-UHFFFAOYSA-N	C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1
JNUZADQZHYFJGW-JOCHJYFZSA-N	COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1
JOIONRWKOGDQOG-CYBMUJFWSA-N	FC(F)(F)c1cc2c(N[C@@H]3CCCc4ccccc43)ncnc2[nH]1
JPYCCGGQWFVQHD-UHFFFAOYSA-N	COC(=O)c1ccc2c(c1)C(=O)C(C)C(C)(C)O2
JQBUTSBIFNKJMW-CYBMUJFWSA-N	Cc1ncccc1-c1cc2c(n3cnnc13)NCc1c(F)ccc3c1[C@H](CO3)CO2
JSYDPBIPJQMGFS-UHFFFAOYSA-N	O=C(CN1CCC(c2ccc(F)cc2)C1=O)N1CCc2ccc(Cl)cc2C1
JUVJFMVGYBBDKN-HDJSIYSDSA-N	COCCO[C@H]1CC[C@H](NC(=O)c2cc(-c3cncs3)nc3[nH]ccc23)CC1
JYARCKOULWUJOH-OKILXGFUSA-N	C[C@H]1CN(c2c(F)cc(C#Cc3nccn3C)cc2C=O)C[C@@H](C)O1
JYHSRMKXBAPFST-UHFFFAOYSA-N	COc1nc(C(C)C)ccc1-c1cnc2sc(N3CCC(O)(CN)CC3)nn12
JZVSKUKBCKURLB-VULHUXJZSA-N	COCCOCCOCCNC(=O)c1ccc(C)c(-c2cccc(C[C@H](NC(=O)[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)C(=O)Nc3ccc(-c4nnn[nH]4)cc3)c2)c1
KEAPWCUSGPWISG-UHFFFAOYSA-N	CCc1nc2ccc(C(N)=O)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
KGMPDQIYDKKXRD-UHFFFAOYSA-N	COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1nccc(OC)c1F
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Ic1ccc2ncnc(N3CCc4ccccc43)c2c1
KMFLQPJJHQNKKF-UHFFFAOYSA-N	Cc1ccc(C(=O)Nc2nc(-c3ccco3)c(C(=O)C3CCOCC3)s2)cn1
